Order Date,Ship Mode,Customer Name,Segment,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2014/11/9,Second Class,Claire Gute,Consumer,Henderson,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2014/11/9,Second Class,Claire Gute,Consumer,Henderson,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
2014/6/13,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
2013/10/11,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
2013/10/11,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
2012/6/9,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
2015/4/16,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
2014/12/6,Standard Class,Irene Maddox,Consumer,Seattle,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
2013/11/22,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
2013/11/22,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
2012/11/11,Standard Class,Pete Kriz,Consumer,Madison,Wisconsin,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
2012/8/27,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
2012/8/27,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
2012/8/27,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
2015/7/17,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
2014/1/16,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
2014/1/16,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
2013/9/17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
2015/10/20,Second Class,Matt Abelman,Home Office,Houston,North Rhine-Westphalia,Office Supplies,Fasteners,Easy-staple paper,29.472,3,0.2,9.9468
2014/12/9,First Class,Gene Hale,Corporate,Richardson,Texas,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
2014/12/9,First Class,Gene Hale,Corporate,Richardson,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
